學年,學期,國家,學校,學院,學系
101年度,一學年,美國,威斯康辛大學麥迪遜分校,社會科學院,政治學系
101年度,一學期,中國大陸,清華大學,社會科學院,政治學系
101年度,一學年,日本,京都大學,社會科學院,經濟學系
101年度,一學期,瑞典,優密歐大學,社會科學院,經濟學系
101年度,一學期,荷蘭,馬斯垂克大學,社會科學院,經濟學系
101年度,一學期,美國,加州大學,社會科學院,經濟學系
101年度,一學年,加拿大,加拿大英屬哥倫比亞大學(卑詩大學),社會科學院,經濟學系
101年度,一學年,日本,筑波大學,社會科學院,經濟學系
101年度,一學期,日本,九州大學,社會科學院,經濟學系
101年度,一學期,丹麥,哥本哈根大學,社會科學院,經濟學系
101年度,一學年,泰國,朱拉隆功大學,社會科學院,社會學系
101年度,一學期,中國大陸,北京大學,社會科學院,社會學系
101年度,一學年,丹麥,哥本哈根大學,社會科學院,社會學系
101年度,一學年,瑞典,林雪平大學,醫學院,醫學系
101年度,一學期,香港,香港理工大學,工學院,土木工程學系
101年度,一學期,中國大陸,清華大學,工學院,土木工程學系
101年度,一學期,新加坡,南洋理工大學,工學院,土木工程學系
101年度,一學期,瑞典,皇家理工學院,工學院,機械工程學系
101年度,一學年,德國,慕尼黑工業大學,工學院,化學工程學系
101年度,一學期,中國大陸,清華大學,工學院,化學工程學系
101年度,一學年,德國,斯圖加特大學,工學院,工程科學及海洋工程學系
101年度,一學期,美國,喬治亞大學,生物資源暨農學院,農藝學系
101年度,一學年,日本,金澤大學,生物資源暨農學院,農藝學系
101年度,一學期,中國大陸,中國農業大學,生物資源暨農學院,農藝學系
101年度,一學期,德國,卡爾斯魯爾理工學院,生物資源暨農學院,生物環境系統工程學系
101年度,一學期,挪威,奧斯陸大學,生物資源暨農學院,動物科學技術學系
101年度,一學期,香港,香港中文大學,生物資源暨農學院,農業經濟學系
101年度,一學年,日本,北海道大學,社會科學院,經濟學系
101年度,一學年,美國,北卡羅來納州立大學,生物資源暨農學院,生物產業傳播暨發展學系
101年度,一學期,中國大陸,清華大學,生物資源暨農學院,生物機電工程學系
101年度,一學年,美國,紐約州立大學 阿爾伯尼分校,生物資源暨農學院,生物機電工程學系
101年度,一學期,瑞典,烏普薩拉大學,管理學院,工商管理學系
101年度,一學年,美國,天普大學,管理學院,工商管理學系
101年度,一學年,美國,天普大學,管理學院,工商管理學系
101年度,一學期,中國大陸,復旦大學,管理學院,會計學系
101年度,一學期,瑞典,斯德哥爾摩大學,管理學院,會計學系
101年度,一學年,南韓,梨花女子大學,管理學院,會計學系
101年度,一學年,德國,曼漢姆大學,管理學院,財務金融學系
101年度,一學年,香港,香港中文大學,管理學院,財務金融學系
101年度,一學期,美國,加州州立大學,管理學院,財務金融學系
101年度,一學年,法國,巴黎高等政治學院,管理學院,財務金融學系
101年度,一學期,英國,愛丁堡大學,管理學院,財務金融學系
101年度,一學期,南韓,成均館大學,管理學院,財務金融學系
101年度,一學期,法國,尚慕蘭里昂第三大學,管理學院,財務金融學系
101年度,一學期,日本,橫濱國立大學,管理學院,國際企業學系
101年度,一學年,法國,里爾天主教大學,管理學院,國際企業學系
101年度,一學年,德國,柏林洪堡大學,管理學院,國際企業學系
101年度,一學年,瑞士,聖加倫大學,管理學院,國際企業學系
101年度,一學年,日本,大阪大學,管理學院,國際企業學系
101年度,一學期,英國,曼徹斯特大學,管理學院,國際企業學系
101年度,一學期,德國,弗萊堡大學,管理學院,國際企業學系
101年度,一學期,中國大陸,浙江大學,管理學院,國際企業學系
101年度,一學年,英國,愛丁堡大學,管理學院,國際企業學系
101年度,一學期,荷蘭,馬斯垂克大學,管理學院,國際企業學系
101年度,一學年,法國,巴黎高等政治學院,管理學院,國際企業學系
101年度,一學期,中國大陸,北京大學,管理學院,資訊管理學系
101年度,一學期,美國,天普大學,電機資訊學院,電機工程學系
101年度,一學期,法國,法國女性高等綜合理工學院,電機資訊學院,電機工程學系
101年度,一學期,新加坡,新加坡國立大學,電機資訊學院,資訊工程學系
101年度,一學年,德國,慕尼黑大學,法律學院,法律學系
101年度,一學年,日本,明治大學,法律學院,法律學系
101年度,一學期,美國,天普大學,法律學院,法律學系
101年度,一學年,法國,巴黎西大學農泰爾拉德芳斯 (巴黎第十大學),文學院,外國語文學系
101年度,一學期,英國,南安普頓大學,文學院,外國語文學系
101年度,一學期,英國,愛丁堡大學,文學院,外國語文學系
101年度,一學期,加拿大,加拿大英屬哥倫比亞大學(卑詩大學),文學院,外國語文學系
101年度,一學年,美國,奧克拉荷瑪大學,文學院,外國語文學系
101年度,一學期,加拿大,多倫多大學,文學院,外國語文學系
101年度,一學年,美國,加州大學,文學院,外國語文學系
101年度,一學年,加拿大,渥太華大學,文學院,外國語文學系
101年度,一學年,葡萄牙,波爾圖大學,文學院,外國語文學系
101年度,一學期,加拿大,渥太華大學,文學院,外國語文學系
101年度,一學期,中國大陸,北京大學,文學院,歷史學系
101年度,一學期,中國大陸,北京大學,文學院,歷史學系
101年度,一學期,中國大陸,北京大學,文學院,歷史學系
101年度,一學年,南韓,梨花女子大學,文學院,圖書資訊學系
101年度,一學期,德國,烏爾姆大學,理學院,心理學系
101年度,一學期,奧地利,林茲大學,社會科學院,政治學系
101年度,一學期,澳大利亞,澳洲國立大學,社會科學院,經濟學系
101年度,一學年,日本,慶應義塾大學,社會科學院,經濟學系
101年度,一學期,德國,烏爾姆大學,工學院,工程科學及海洋工程學系
101年度,一學期,中國大陸,中國農業大學,生物資源暨農學院,農藝學系
101年度,一學期,德國,慕尼黑工業大學,生物資源暨農學院,農業經濟學系
101年度,一學期,中國大陸,中國人民大學,生物資源暨農學院,生物產業傳播暨發展學系
101年度,一學期,奧地利,林茲大學,生物資源暨農學院,生物機電工程學系
101年度,一學年,法國,蒙貝利耶第二大學,管理學院,工商管理學系
101年度,一學年,美國,奧克拉荷瑪大學,管理學院,工商管理學系
101年度,一學年,日本,名古屋大學,管理學院,會計學系
101年度,一學期,瑞典,優密歐大學,電機資訊學院,電機工程學系
101年度,一學期,香港,香港中文大學,法律學院,法律學系
101年度,一學年,英國,愛丁堡大學,法律學院,法律學系
101年度,一學期,澳大利亞,墨爾本大學,法律學院,法律學系
101年度,一學期,加拿大,加拿大英屬哥倫比亞大學(卑詩大學),法律學院,法律學系
101年度,一學期,澳大利亞,澳洲國立大學,法律學院,法律學系
101年度,一學年,美國,加州大學,工學院,機械工程學系
101年度,一學期,美國,加州大學,電機資訊學院,電機工程學系
100年度,一學期,日本,國際教養大學,管理學院,國際企業學系
100年度,一學年,英國,愛丁堡大學,生命科學院,生命科學系
100年度,一學年,中國大陸,浙江大學,生物資源暨農學院,生物產業傳播暨發展學系
100年度,一學年,新加坡,新加坡國立大學,社會科學院,政治學系
100年度,一學年,瑞士,聖加倫大學,社會科學院,社會學系
100年度,一學期,瑞典,烏普薩拉大學,文學院,外國語文學系
100年度,一學期,德國,魯耳波洪大學,理學院,地理環境資源學系
100年度,一學年,中國大陸,西安交通大學,管理學院,國際企業學系
100年度,一學期,以色列,以色列理工學院,工學院,機械工程學系
100年度,一學期,德國,多特蒙德工業大學,工學院,工程科學及海洋工程學系
100年度,一學期,日本,九州大學,電機資訊學院,電機工程學系
100年度,一學期,加拿大,渥太華大學,社會科學院,政治學系
100年度,一學年,瑞士,聖加倫大學,管理學院,國際企業學系
100年度,一學年,德國,波昂大學,管理學院,國際企業學系
100年度,一學年,美國,加州大學,生命科學院,生命科學系
100年度,一學期,西班牙,馬德里技術大學,醫學院,醫學檢驗暨生物技術學系
100年度,一學年,中國大陸,中國人民大學,文學院,歷史學系
100年度,一學年,日本,同志社大學,管理學院,國際企業學系
100年度,一學年,法國,里爾天主教大學,醫學院,醫學系
100年度,一學年,美國,北卡羅來納州立大學,管理學院,工商管理學系
100年度,一學期,英國,南安普頓大學,文學院,外國語文學系
100年度,一學年,奧地利,林茲大學,社會科學院,經濟學系
100年度,一學年,日本,北海道大學,法律學院,法律學系
100年度,一學期,中國大陸,浙江大學,生物資源暨農學院,生物產業傳播暨發展學系
100年度,一學期,美國,加州大學,管理學院,財務金融學系
100年度,一學期,挪威,奧斯陸大學,文學院,外國語文學系
100年度,一學期,中國大陸,復旦大學,管理學院,國際企業學系
100年度,一學年,德國,魯耳波洪大學,理學院,心理學系
100年度,一學年,美國,華盛頓大學,社會科學院,政治學系
100年度,一學年,加拿大,西門菲沙大學,醫學院,醫學系
100年度,一學年,法國,巴黎西大學農泰爾拉德芳斯 (巴黎第十大學),法律學院,法律學系
100年度,一學期,中國大陸,上海交通大學,管理學院,工商管理學系
100年度,一學年,美國,夏威夷大學瑪諾亞分校,生物資源暨農學院,農業化學系
100年度,一學期,美國,加州大學,管理學院,國際企業學系
100年度,一學年,日本,早稻田大學,社會科學院,經濟學系
100年度,一學期,中國大陸,復旦大學,管理學院,資訊管理學系
100年度,一學期,中國大陸,北京大學,管理學院,資訊管理學系
100年度,一學年,法國,索邦大學（原皮耶及瑪麗居禮大學 ),理學院,地理環境資源學系
100年度,一學期,英國,南安普頓大學,文學院,外國語文學系
100年度,一學期,瑞典,烏普薩拉大學,文學院,外國語文學系
100年度,一學年,西班牙,巴塞隆納自治大學,管理學院,國際企業學系
100年度,一學期,美國,賓州大學,文學院,外國語文學系
100年度,一學期,加拿大,加拿大英屬哥倫比亞大學(卑詩大學),文學院,圖書資訊學系
100年度,一學期,南韓,首爾國立大學,醫學院,職能治療學系
100年度,一學期,澳大利亞,格里菲斯大學,管理學院,工商管理學系
100年度,一學期,美國,賓州大學,社會科學院,政治學系
100年度,一學期,日本,神奈川大學,社會科學院,經濟學系
100年度,一學期,美國,加州大學,管理學院,財務金融學系
100年度,一學年,英國,薩塞克斯大學,管理學院,工商管理學系
100年度,一學年,捷克,馬薩里克大學,社會科學院,經濟學系
100年度,一學期,中國大陸,浙江大學,文學院,外國語文學系
